"site","date","Freq","type","visits"
"it",2023-10-24,2,"generic",251
"kieler1",2023-10-24,1,"specific",55
"marathousa1b",2023-10-24,1,"specific",35
"poeymau",2023-10-24,4,"specific",134
"pt",2023-10-24,2,"generic",214
"ro",2023-10-24,4,"generic",45
"shuidonggou2",2023-10-24,2,"specific",152
"tai",2023-10-24,5,"specific",297
"teseticeX08",2023-10-24,3,"specific",60
"camiac",2023-10-25,2,"specific",19
"chauzeys",2023-10-25,1,"specific",108
"combe-greze",2023-10-25,1,"specific",45
"de",2023-10-25,3,"generic",105
"en",2023-10-25,11,"generic",1146
"fr",2023-10-25,2,"generic",548
"grotte16",2023-10-25,1,"specific",98
"portal",2023-10-25,11,"portal",1958
"it",2023-10-25,5,"generic",256
"kieler1",2023-10-25,2,"specific",57
"mas-vignoles-x",2023-10-25,2,"specific",49
"poeymau",2023-10-25,2,"specific",136
"pt",2023-10-25,3,"generic",217
"shuidonggou2",2023-10-25,1,"specific",153
"tai",2023-10-25,3,"specific",300
"altenerding",2023-10-26,4,"specific",276
"barger-gulch",2023-10-26,1,"specific",127
"barmose",2023-10-26,2,"specific",36
"bastos",2023-10-26,1,"specific",75
"bilzingsleben",2023-10-26,4,"specific",93
"camiac",2023-10-26,2,"specific",21
"cassenade",2023-10-26,5,"specific",87
"chauzeys",2023-10-26,2,"specific",110
"combe-cullier",2023-10-26,1,"specific",48
"combe-greze",2023-10-26,1,"specific",46
"de",2023-10-26,3,"generic",108
"en",2023-10-26,7,"generic",1153
"fr",2023-10-26,1,"generic",549
"grande-rivoire",2023-10-26,1,"specific",56
"grotte16",2023-10-26,1,"specific",99
"portal",2023-10-26,9,"portal",1967
"it",2023-10-26,1,"generic",257
"madjedbebe",2023-10-26,2,"specific",31
"mask",2023-10-26,1,"specific",64
"mnk-skull-t3",2023-10-26,1,"specific",21
"pirro-nord13",2023-10-26,1,"specific",36
"poeymau",2023-10-26,2,"specific",138
"ro",2023-10-26,1,"generic",46
"shuidonggou2",2023-10-26,4,"specific",157
"tai",2023-10-26,2,"specific",302
"teseticeX08",2023-10-26,1,"specific",61
"tute-du-pelerin",2023-10-26,1,"specific",83
"chauzeys",2023-10-27,4,"specific",114
"de",2023-10-27,1,"generic",109
"en",2023-10-27,2,"generic",1155
"grotte16",2023-10-27,1,"specific",100
"portal",2023-10-27,7,"portal",1974
"le-flageolet",2023-10-27,1,"specific",43
"poeymau",2023-10-27,1,"specific",139
"pt",2023-10-27,1,"generic",218
"tai",2023-10-27,1,"specific",303
"tute-du-pelerin",2023-10-27,1,"specific",84
"altenerding",2023-10-28,3,"specific",279
"bout-des-vergnes",2023-10-28,1,"specific",29
"chauzeys",2023-10-28,4,"specific",118
"en",2023-10-28,3,"generic",1158
"erb-tanks",2023-10-28,1,"specific",66
"es",2023-10-28,1,"generic",53
"grande-rivoire",2023-10-28,1,"specific",57
"portal",2023-10-28,14,"portal",1988
"it",2023-10-28,1,"generic",258
"kieler1",2023-10-28,1,"specific",58
"roquemissou",2023-10-28,1,"specific",48
"shuidonggou2",2023-10-28,1,"specific",158
"tute-du-pelerin",2023-10-28,2,"specific",86
"altenerding",2023-10-29,2,"specific",281
"anse-a-henry",2023-10-29,1,"specific",80
"chauzeys",2023-10-29,6,"specific",124
"de",2023-10-29,1,"generic",110
"en",2023-10-29,5,"generic",1163
"fr",2023-10-29,1,"generic",550
"portal",2023-10-29,6,"portal",1994
"it",2023-10-29,1,"generic",259
"kieler1",2023-10-29,2,"specific",60
"petit-paulmy",2023-10-29,1,"specific",56
"pirro-nord13",2023-10-29,1,"specific",37
"pt",2023-10-29,2,"generic",220
"ro",2023-10-29,1,"generic",47
"tai",2023-10-29,1,"specific",304
"tute-du-pelerin",2023-10-29,2,"specific",88
"altenerding",2023-10-30,5,"specific",286
"barger-gulch",2023-10-30,1,"specific",128
"barmose",2023-10-30,2,"specific",38
"camiac",2023-10-30,1,"specific",22
"cassenade",2023-10-30,1,"specific",88
"chauzeys",2023-10-30,5,"specific",129
"de",2023-10-30,3,"generic",113
"en",2023-10-30,7,"generic",1170
"es",2023-10-30,1,"generic",54
"fr",2023-10-30,4,"generic",554
"grotte16",2023-10-30,1,"specific",101
"portal",2023-10-30,11,"portal",2005
"it",2023-10-30,1,"generic",260
"les-jambes",2023-10-30,2,"specific",61
"mas-vignoles-x",2023-10-30,2,"specific",51
"mask",2023-10-30,1,"specific",65
"poeymau",2023-10-30,2,"specific",141
"ro",2023-10-30,1,"generic",48
"shuidonggou2",2023-10-30,2,"specific",160
"tai",2023-10-30,5,"specific",309
"tute-du-pelerin",2023-10-30,1,"specific",89
"altenerding",2023-10-31,5,"specific",291
"anyskop",2023-10-31,1,"specific",8
"bilzingsleben",2023-10-31,1,"specific",94
"cassenade",2023-10-31,1,"specific",89
"champ-parel3",2023-10-31,1,"specific",62
"chauzeys",2023-10-31,13,"specific",142
"en",2023-10-31,2,"generic",1172
"grotte16",2023-10-31,1,"specific",102
"portal",2023-10-31,14,"portal",2019
"kieler1",2023-10-31,3,"specific",63
"le-flageolet",2023-10-31,1,"specific",44
"les-jambes",2023-10-31,2,"specific",63
"mnk-skull-t3",2023-10-31,1,"specific",22
"poeymau",2023-10-31,1,"specific",142
"ro",2023-10-31,1,"generic",49
"roc-de-marcamps1",2023-10-31,1,"specific",39
"roc-de-marcamps2",2023-10-31,1,"specific",42
"shuidonggou2",2023-10-31,3,"specific",163
"teseticeX08",2023-10-31,1,"specific",62
"altenerding",2023-11-01,3,"specific",294
"anyskop",2023-11-01,1,"specific",9
"barger-gulch",2023-11-01,1,"specific",129
"bilzingsleben",2023-11-01,1,"specific",95
"cassenade",2023-11-01,1,"specific",90
"chauzeys",2023-11-01,8,"specific",150
"combe-cullier",2023-11-01,3,"specific",51
"de",2023-11-01,1,"generic",114
"en",2023-11-01,4,"generic",1176
"es",2023-11-01,1,"generic",55
"fr",2023-11-01,1,"generic",555
"grande-rivoire",2023-11-01,1,"specific",58
"portal",2023-11-01,11,"portal",2030
"it",2023-11-01,1,"generic",261
"kieler1",2023-11-01,1,"specific",64
"moulin-neuf",2023-11-01,1,"specific",32
"pirro-nord13",2023-11-01,1,"specific",38
"pt",2023-11-01,1,"generic",221
"ro",2023-11-01,1,"generic",50
"shuidonggou2",2023-11-01,1,"specific",164
"tai",2023-11-01,2,"specific",311
"tute-du-pelerin",2023-11-01,2,"specific",91
"altenerding",2023-11-02,4,"specific",298
"amalda",2023-11-02,1,"specific",149
"anse-a-henry",2023-11-02,1,"specific",81
"barger-gulch",2023-11-02,2,"specific",131
"bastos",2023-11-02,1,"specific",76
"bessinaudes",2023-11-02,1,"specific",18
"bilzingsleben",2023-11-02,2,"specific",97
"bout-des-vergnes",2023-11-02,2,"specific",31
"camiac",2023-11-02,1,"specific",23
"cassenade",2023-11-02,1,"specific",91
"champ-parel3",2023-11-02,2,"specific",64
"chauzeys",2023-11-02,5,"specific",155
"chez-thuilet",2023-11-02,2,"specific",52
"combe-cullier",2023-11-02,2,"specific",53
"combe-greze",2023-11-02,1,"specific",47
"de",2023-11-02,2,"generic",116
"en",2023-11-02,6,"generic",1182
"erb-tanks",2023-11-02,1,"specific",67
"es",2023-11-02,3,"generic",58
"fontechevade",2023-11-02,2,"specific",26
"fr",2023-11-02,6,"generic",561
"grande-rivoire",2023-11-02,2,"specific",60
"grotte16",2023-11-02,3,"specific",105
"portal",2023-11-02,19,"portal",2049
"it",2023-11-02,1,"generic",262
"kieler1",2023-11-02,1,"specific",65
"le-flageolet",2023-11-02,1,"specific",45
"les-jambes",2023-11-02,2,"specific",65
"madjedbebe",2023-11-02,1,"specific",32
"marathousa1a",2023-11-02,1,"specific",32
"marathousa1b",2023-11-02,1,"specific",36
"mas-vignoles-x",2023-11-02,2,"specific",53
"mask",2023-11-02,3,"specific",68
"mnk-skull-t3",2023-11-02,1,"specific",23
"moulin-neuf",2023-11-02,1,"specific",33
"petit-paulmy",2023-11-02,1,"specific",57
"pirro-nord13",2023-11-02,1,"specific",39
"poeymau",2023-11-02,1,"specific",143
"ro",2023-11-02,1,"generic",51
"roc-de-marcamps1",2023-11-02,2,"specific",41
"roc-de-marcamps2",2023-11-02,1,"specific",43
"roche-a-pierrot",2023-11-02,1,"specific",52
"roquemissou",2023-11-02,4,"specific",52
"shuidonggou2",2023-11-02,1,"specific",165
"tai",2023-11-02,1,"specific",312
"teseticeX08",2023-11-02,1,"specific",63
"tute-du-pelerin",2023-11-02,3,"specific",94
"altenerding",2023-11-03,2,"specific",300
"amalda",2023-11-03,1,"specific",150
"bastos",2023-11-03,1,"specific",77
"cassenade",2023-11-03,1,"specific",92
"chauzeys",2023-11-03,6,"specific",161
"de",2023-11-03,1,"generic",117
"en",2023-11-03,5,"generic",1187
"fr",2023-11-03,3,"generic",564
"portal",2023-11-03,7,"portal",2056
"madjedbebe",2023-11-03,1,"specific",33
"marathousa1b",2023-11-03,2,"specific",38
"mas-vignoles-x",2023-11-03,1,"specific",54
"pirro-nord13",2023-11-03,1,"specific",40
"poeymau",2023-11-03,1,"specific",144
"pt",2023-11-03,1,"generic",222
"ro",2023-11-03,1,"generic",52
"tai",2023-11-03,1,"specific",313
"tute-du-pelerin",2023-11-03,1,"specific",95
"altenerding",2023-11-04,4,"specific",304
"amalda",2023-11-04,1,"specific",151
"anse-a-henry",2023-11-04,1,"specific",82
"barger-gulch",2023-11-04,2,"specific",133
"barmose",2023-11-04,1,"specific",39
"bastos",2023-11-04,1,"specific",78
"bilzingsleben",2023-11-04,1,"specific",98
"bout-des-vergnes",2023-11-04,3,"specific",34
"camiac",2023-11-04,1,"specific",24
"cassenade",2023-11-04,1,"specific",93
"champ-parel3",2023-11-04,1,"specific",65
"chauzeys",2023-11-04,8,"specific",169
"chez-thuilet",2023-11-04,1,"specific",53
"combe-cullier",2023-11-04,1,"specific",54
"combe-greze",2023-11-04,2,"specific",49
"de",2023-11-04,4,"generic",121
"en",2023-11-04,7,"generic",1194
"erb-tanks",2023-11-04,1,"specific",68
"es",2023-11-04,2,"generic",60
"fontechevade",2023-11-04,1,"specific",27
"fr",2023-11-04,6,"generic",570
"grande-rivoire",2023-11-04,1,"specific",61
"grotte16",2023-11-04,2,"specific",107
"portal",2023-11-04,5,"portal",2061
"it",2023-11-04,4,"generic",266
"kieler1",2023-11-04,1,"specific",66
"le-flageolet",2023-11-04,1,"specific",46
"les-jambes",2023-11-04,2,"specific",67
"madjedbebe",2023-11-04,1,"specific",34
"marathousa1a",2023-11-04,1,"specific",33
"marathousa1b",2023-11-04,1,"specific",39
"mas-vignoles-x",2023-11-04,1,"specific",55
"mask",2023-11-04,2,"specific",70
"moulin-neuf",2023-11-04,1,"specific",34
"petit-paulmy",2023-11-04,1,"specific",58
"pirro-nord13",2023-11-04,1,"specific",41
"poeymau",2023-11-04,2,"specific",146
"pt",2023-11-04,3,"generic",225
"ro",2023-11-04,2,"generic",54
"roc-de-marcamps1",2023-11-04,1,"specific",42
"roc-de-marcamps2",2023-11-04,1,"specific",44
"roche-a-pierrot",2023-11-04,1,"specific",53
"roquemissou",2023-11-04,1,"specific",53
"shuidonggou2",2023-11-04,4,"specific",169
"tai",2023-11-04,5,"specific",318
"teseticeX08",2023-11-04,1,"specific",64
"tute-du-pelerin",2023-11-04,2,"specific",97
"altenerding",2023-11-05,2,"specific",306
"bastos",2023-11-05,1,"specific",79
"cassenade",2023-11-05,1,"specific",94
"chauzeys",2023-11-05,6,"specific",175
"en",2023-11-05,3,"generic",1197
"fr",2023-11-05,3,"generic",573
"grotte16",2023-11-05,1,"specific",108
"portal",2023-11-05,5,"portal",2066
"kieler1",2023-11-05,1,"specific",67
"mnk-skull-t3",2023-11-05,1,"specific",24
"pirro-nord13",2023-11-05,1,"specific",42
"ro",2023-11-05,1,"generic",55
"teseticeX08",2023-11-05,2,"specific",66
"altenerding",2023-11-06,8,"specific",314
"amalda",2023-11-06,1,"specific",152
"anyskop",2023-11-06,1,"specific",10
"barger-gulch",2023-11-06,1,"specific",134
"bastos",2023-11-06,1,"specific",80
"bilzingsleben",2023-11-06,2,"specific",100
"camiac",2023-11-06,1,"specific",25
"champ-parel3",2023-11-06,1,"specific",66
"chauzeys",2023-11-06,7,"specific",182
"chez-thuilet",2023-11-06,1,"specific",54
"combe-greze",2023-11-06,1,"specific",50
"de",2023-11-06,2,"generic",123
"en",2023-11-06,5,"generic",1202
"es",2023-11-06,2,"generic",62
"fr",2023-11-06,5,"generic",578
"grande-rivoire",2023-11-06,3,"specific",64
"grotte16",2023-11-06,1,"specific",109
"portal",2023-11-06,16,"portal",2082
"it",2023-11-06,2,"generic",268
"kieler1",2023-11-06,3,"specific",70
"le-flageolet",2023-11-06,1,"specific",47
"les-jambes",2023-11-06,1,"specific",68
"marathousa1a",2023-11-06,1,"specific",34
"mas-vignoles-x",2023-11-06,1,"specific",56
"mask",2023-11-06,3,"specific",73
"mnk-skull-t3",2023-11-06,1,"specific",25
"moulin-neuf",2023-11-06,2,"specific",36
"poeymau",2023-11-06,2,"specific",148
"pt",2023-11-06,1,"generic",226
"ro",2023-11-06,1,"generic",56
"roche-a-pierrot",2023-11-06,1,"specific",54
"roquemissou",2023-11-06,1,"specific",54
"shuidonggou2",2023-11-06,2,"specific",171
"tai",2023-11-06,6,"specific",324
"tute-du-pelerin",2023-11-06,3,"specific",100
"barger-gulch",2023-11-07,4,"specific",138
"bastos",2023-11-07,1,"specific",81
"chauzeys",2023-11-07,1,"specific",183
"combe-capelle-a1a2",2023-11-07,1,"specific",27
"combe-greze",2023-11-07,1,"specific",51
"de",2023-11-07,1,"generic",124
"en",2023-11-07,5,"generic",1207
"fontechevade",2023-11-07,1,"specific",28
"fr",2023-11-07,5,"generic",583
"grande-rivoire",2023-11-07,2,"specific",66
"grotte16",2023-11-07,1,"specific",110
"portal",2023-11-07,16,"portal",2098
"pirro-nord13",2023-11-07,1,"specific",43
"poeymau",2023-11-07,1,"specific",149
"ro",2023-11-07,1,"generic",57
"roc-de-marcamps1",2023-11-07,2,"specific",44
"shuidonggou2",2023-11-07,1,"specific",172
"tai",2023-11-07,2,"specific",326
"tute-du-pelerin",2023-11-07,1,"specific",101
"altenerding",2023-11-08,4,"specific",318
"chauzeys",2023-11-08,4,"specific",187
"de",2023-11-08,2,"generic",126
"en",2023-11-08,5,"generic",1212
"es",2023-11-08,2,"generic",64
"fr",2023-11-08,3,"generic",586
"grotte16",2023-11-08,2,"specific",112
"portal",2023-11-08,7,"portal",2105
"it",2023-11-08,1,"generic",269
"poeymau",2023-11-08,2,"specific",151
"pt",2023-11-08,1,"generic",227
"ro",2023-11-08,1,"generic",58
"shuidonggou2",2023-11-08,2,"specific",174
"tai",2023-11-08,4,"specific",330
"altenerding",2023-11-09,2,"specific",320
"barmose",2023-11-09,1,"specific",40
"bilzingsleben",2023-11-09,2,"specific",102
"chauzeys",2023-11-09,2,"specific",189
"combe-cullier",2023-11-09,1,"specific",55
"de",2023-11-09,2,"generic",128
"en",2023-11-09,7,"generic",1219
"es",2023-11-09,2,"generic",66
"fr",2023-11-09,6,"generic",592
"grande-rivoire",2023-11-09,2,"specific",68
"grotte16",2023-11-09,5,"specific",117
"portal",2023-11-09,11,"portal",2116
"it",2023-11-09,2,"generic",271
"pirro-nord13",2023-11-09,1,"specific",44
"poeymau",2023-11-09,4,"specific",155
"pt",2023-11-09,2,"generic",229
"ro",2023-11-09,3,"generic",61
"shuidonggou2",2023-11-09,4,"specific",178
"tai",2023-11-09,4,"specific",334
"anse-a-henry",2023-11-10,1,"specific",83
"bilzingsleben",2023-11-10,1,"specific",103
"de",2023-11-10,4,"generic",132
"en",2023-11-10,8,"generic",1227
"es",2023-11-10,2,"generic",68
"fr",2023-11-10,3,"generic",595
"grande-rivoire",2023-11-10,1,"specific",69
"grotte16",2023-11-10,3,"specific",120
"portal",2023-11-10,11,"portal",2127
"it",2023-11-10,3,"generic",274
"mnk-skull-t3",2023-11-10,1,"specific",26
"poeymau",2023-11-10,3,"specific",158
"pt",2023-11-10,3,"generic",232
"ro",2023-11-10,3,"generic",64
"shuidonggou2",2023-11-10,2,"specific",180
"tai",2023-11-10,6,"specific",340
"tute-du-pelerin",2023-11-10,1,"specific",102
"altenerding",2023-11-11,1,"specific",321
"anyskop",2023-11-11,1,"specific",11
"chauzeys",2023-11-11,3,"specific",192
"de",2023-11-11,2,"generic",134
"en",2023-11-11,14,"generic",1241
"es",2023-11-11,3,"generic",71
"fr",2023-11-11,5,"generic",600
"grande-rivoire",2023-11-11,1,"specific",70
"grotte16",2023-11-11,4,"specific",124
"portal",2023-11-11,8,"portal",2135
"it",2023-11-11,3,"generic",277
"le-flageolet",2023-11-11,1,"specific",48
"pirro-nord13",2023-11-11,1,"specific",45
"poeymau",2023-11-11,3,"specific",161
"pt",2023-11-11,2,"generic",234
"ro",2023-11-11,2,"generic",66
"shuidonggou2",2023-11-11,5,"specific",185
"tai",2023-11-11,5,"specific",345
"tute-du-pelerin",2023-11-11,2,"specific",104
"altenerding",2023-11-12,2,"specific",323
"amalda",2023-11-12,1,"specific",153
"anyskop",2023-11-12,1,"specific",12
"bastos",2023-11-12,1,"specific",82
"cassenade",2023-11-12,1,"specific",95
"champ-parel3",2023-11-12,1,"specific",67
"chauzeys",2023-11-12,4,"specific",196
"de",2023-11-12,3,"generic",137
"en",2023-11-12,4,"generic",1245
"es",2023-11-12,2,"generic",73
"fr",2023-11-12,2,"generic",602
"grotte16",2023-11-12,2,"specific",126
"portal",2023-11-12,9,"portal",2144
"it",2023-11-12,2,"generic",279
"mnk-skull-t3",2023-11-12,1,"specific",27
"poeymau",2023-11-12,3,"specific",164
"pt",2023-11-12,3,"generic",237
"ro",2023-11-12,3,"generic",69
"roche-a-pierrot",2023-11-12,1,"specific",55
"shuidonggou2",2023-11-12,3,"specific",188
"tai",2023-11-12,2,"specific",347
"altenerding",2023-11-13,2,"specific",325
"amalda",2023-11-13,1,"specific",154
"anse-a-henry",2023-11-13,1,"specific",84
"anyskop",2023-11-13,1,"specific",13
"barger-gulch",2023-11-13,1,"specific",139
"bastos",2023-11-13,2,"specific",84
"bilzingsleben",2023-11-13,1,"specific",104
"bout-des-vergnes",2023-11-13,2,"specific",36
"camiac",2023-11-13,1,"specific",26
"cassenade",2023-11-13,1,"specific",96
"champ-parel3",2023-11-13,1,"specific",68
"chauzeys",2023-11-13,10,"specific",206
"chez-thuilet",2023-11-13,1,"specific",55
"combe-cullier",2023-11-13,1,"specific",56
"combe-greze",2023-11-13,1,"specific",52
"de",2023-11-13,3,"generic",140
"en",2023-11-13,10,"generic",1255
"erb-tanks",2023-11-13,2,"specific",70
"es",2023-11-13,4,"generic",77
"fontechevade",2023-11-13,1,"specific",29
"fr",2023-11-13,5,"generic",607
"grande-rivoire",2023-11-13,1,"specific",71
"grotte16",2023-11-13,5,"specific",131
"portal",2023-11-13,9,"portal",2153
"it",2023-11-13,4,"generic",283
"kieler1",2023-11-13,2,"specific",72
"le-flageolet",2023-11-13,3,"specific",51
"les-jambes",2023-11-13,1,"specific",69
"madjedbebe",2023-11-13,2,"specific",36
"marathousa1a",2023-11-13,2,"specific",36
"marathousa1b",2023-11-13,1,"specific",40
"mas-vignoles-x",2023-11-13,1,"specific",57
"mask",2023-11-13,1,"specific",74
"mnk-skull-t3",2023-11-13,1,"specific",28
"moulin-neuf",2023-11-13,1,"specific",37
"petit-paulmy",2023-11-13,1,"specific",59
"pirro-nord13",2023-11-13,1,"specific",46
"poeymau",2023-11-13,4,"specific",168
"pt",2023-11-13,3,"generic",240
"ro",2023-11-13,4,"generic",73
"roc-de-marcamps1",2023-11-13,2,"specific",46
"roc-de-marcamps2",2023-11-13,1,"specific",45
"roche-a-pierrot",2023-11-13,1,"specific",56
"roquemissou",2023-11-13,1,"specific",55
"shuidonggou2",2023-11-13,4,"specific",192
"tai",2023-11-13,5,"specific",352
"teseticeX08",2023-11-13,1,"specific",67
"tute-du-pelerin",2023-11-13,2,"specific",106
"altenerding",2023-11-14,1,"specific",326
"amalda",2023-11-14,1,"specific",155
"anyskop",2023-11-14,4,"specific",17
"barger-gulch",2023-11-14,2,"specific",141
"bastos",2023-11-14,1,"specific",85
"bilzingsleben",2023-11-14,1,"specific",105
"chauzeys",2023-11-14,4,"specific",210
"de",2023-11-14,3,"generic",143
"en",2023-11-14,6,"generic",1261
"es",2023-11-14,2,"generic",79
"fr",2023-11-14,4,"generic",611
"grotte16",2023-11-14,2,"specific",133
"portal",2023-11-14,8,"portal",2161
"it",2023-11-14,2,"generic",285
"kieler1",2023-11-14,1,"specific",73
"madjedbebe",2023-11-14,1,"specific",37
"poeymau",2023-11-14,4,"specific",172
"pt",2023-11-14,2,"generic",242
"ro",2023-11-14,4,"generic",77
"roc-de-marcamps2",2023-11-14,1,"specific",46
"roquemissou",2023-11-14,1,"specific",56
"shuidonggou2",2023-11-14,4,"specific",196
"tai",2023-11-14,3,"specific",355
"teseticeX08",2023-11-14,1,"specific",68
"tute-du-pelerin",2023-11-14,1,"specific",107
"altenerding",2023-11-15,3,"specific",329
"barmose",2023-11-15,1,"specific",41
"bastos",2023-11-15,1,"specific",86
"chauzeys",2023-11-15,3,"specific",213
"de",2023-11-15,3,"generic",146
"en",2023-11-15,11,"generic",1272
"es",2023-11-15,4,"generic",83
"fr",2023-11-15,5,"generic",616
"grotte16",2023-11-15,5,"specific",138
"portal",2023-11-15,16,"portal",2177
"it",2023-11-15,3,"generic",288
"mas-vignoles-x",2023-11-15,1,"specific",58
"moulin-neuf",2023-11-15,1,"specific",38
"petit-paulmy",2023-11-15,1,"specific",60
"poeymau",2023-11-15,4,"specific",176
"pt",2023-11-15,4,"generic",246
"ro",2023-11-15,3,"generic",80
"shuidonggou2",2023-11-15,4,"specific",200
"tai",2023-11-15,3,"specific",358
"tute-du-pelerin",2023-11-15,1,"specific",108
"altenerding",2023-11-16,2,"specific",331
"bessinaudes",2023-11-16,2,"specific",20
"bilzingsleben",2023-11-16,1,"specific",106
"camiac",2023-11-16,2,"specific",28
"chauzeys",2023-11-16,2,"specific",215
"de",2023-11-16,4,"generic",150
"en",2023-11-16,9,"generic",1281
"es",2023-11-16,3,"generic",86
"fr",2023-11-16,7,"generic",623
"grande-rivoire",2023-11-16,1,"specific",72
"grotte16",2023-11-16,3,"specific",141
"portal",2023-11-16,14,"portal",2191
"it",2023-11-16,5,"generic",293
"poeymau",2023-11-16,4,"specific",180
"pt",2023-11-16,3,"generic",249
"ro",2023-11-16,4,"generic",84
"shuidonggou2",2023-11-16,3,"specific",203
"tai",2023-11-16,4,"specific",362
"altenerding",2023-11-17,5,"specific",336
"amalda",2023-11-17,2,"specific",157
"anse-a-henry",2023-11-17,1,"specific",85
"anyskop",2023-11-17,1,"specific",18
"barger-gulch",2023-11-17,1,"specific",142
"bastos",2023-11-17,1,"specific",87
"bilzingsleben",2023-11-17,2,"specific",108
"bout-des-vergnes",2023-11-17,1,"specific",37
"camiac",2023-11-17,1,"specific",29
"cassenade",2023-11-17,2,"specific",98
"champ-parel3",2023-11-17,1,"specific",69
"chauzeys",2023-11-17,3,"specific",218
"chez-thuilet",2023-11-17,1,"specific",56
"combe-cullier",2023-11-17,1,"specific",57
"combe-greze",2023-11-17,1,"specific",53
"de",2023-11-17,3,"generic",153
"en",2023-11-17,8,"generic",1289
"erb-tanks",2023-11-17,1,"specific",71
"es",2023-11-17,5,"generic",91
"fontechevade",2023-11-17,1,"specific",30
"fr",2023-11-17,4,"generic",627
"grande-rivoire",2023-11-17,3,"specific",75
"grotte16",2023-11-17,5,"specific",146
"portal",2023-11-17,10,"portal",2201
"it",2023-11-17,4,"generic",297
"kieler1",2023-11-17,1,"specific",74
"le-flageolet",2023-11-17,1,"specific",52
"les-jambes",2023-11-17,1,"specific",70
"madjedbebe",2023-11-17,1,"specific",38
"marathousa1a",2023-11-17,1,"specific",37
"marathousa1b",2023-11-17,1,"specific",41
"mas-vignoles-x",2023-11-17,1,"specific",59
"mask",2023-11-17,1,"specific",75
"mnk-skull-t3",2023-11-17,1,"specific",29
"moulin-neuf",2023-11-17,1,"specific",39
"petit-paulmy",2023-11-17,1,"specific",61
"pirro-nord13",2023-11-17,1,"specific",47
"poeymau",2023-11-17,3,"specific",183
"pt",2023-11-17,4,"generic",253
"ro",2023-11-17,3,"generic",87
"roc-de-marcamps1",2023-11-17,1,"specific",47
"roc-de-marcamps2",2023-11-17,1,"specific",47
"roche-a-pierrot",2023-11-17,1,"specific",57
"roquemissou",2023-11-17,1,"specific",57
"shuidonggou2",2023-11-17,4,"specific",207
"tai",2023-11-17,6,"specific",368
"teseticeX08",2023-11-17,2,"specific",70
"tute-du-pelerin",2023-11-17,1,"specific",109
"altenerding",2023-11-18,1,"specific",337
"barmose",2023-11-18,1,"specific",42
"chauzeys",2023-11-18,4,"specific",222
"de",2023-11-18,2,"generic",155
"en",2023-11-18,7,"generic",1296
"es",2023-11-18,2,"generic",93
"fr",2023-11-18,5,"generic",632
"grotte16",2023-11-18,2,"specific",148
"portal",2023-11-18,11,"portal",2212
"it",2023-11-18,2,"generic",299
"poeymau",2023-11-18,3,"specific",186
"pt",2023-11-18,2,"generic",255
"ro",2023-11-18,3,"generic",90
"shuidonggou2",2023-11-18,2,"specific",209
"tai",2023-11-18,4,"specific",372
"barger-gulch",2023-11-19,1,"specific",143
"camiac",2023-11-19,1,"specific",30
"chauzeys",2023-11-19,3,"specific",225
"de",2023-11-19,4,"generic",159
"en",2023-11-19,6,"generic",1302
"es",2023-11-19,3,"generic",96
"fr",2023-11-19,5,"generic",637
"grotte16",2023-11-19,2,"specific",150
"portal",2023-11-19,11,"portal",2223
"it",2023-11-19,3,"generic",302
"pirro-nord13",2023-11-19,1,"specific",48
"poeymau",2023-11-19,2,"specific",188
"pt",2023-11-19,4,"generic",259
"ro",2023-11-19,2,"generic",92
"shuidonggou2",2023-11-19,4,"specific",213
"tai",2023-11-19,3,"specific",375
"tute-du-pelerin",2023-11-19,1,"specific",110
"altenerding",2023-11-20,7,"specific",344
"anse-a-henry",2023-11-20,1,"specific",86
"barger-gulch",2023-11-20,1,"specific",144
"camiac",2023-11-20,1,"specific",31
"champ-parel3",2023-11-20,2,"specific",71
"chauzeys",2023-11-20,5,"specific",230
"de",2023-11-20,2,"generic",161
"en",2023-11-20,8,"generic",1310
"es",2023-11-20,2,"generic",98
"fr",2023-11-20,3,"generic",640
"grotte16",2023-11-20,3,"specific",153
"portal",2023-11-20,8,"portal",2231
"it",2023-11-20,2,"generic",304
"le-flageolet",2023-11-20,1,"specific",53
"les-jambes",2023-11-20,1,"specific",71
"mask",2023-11-20,1,"specific",76
"poeymau",2023-11-20,3,"specific",191
"pt",2023-11-20,2,"generic",261
"ro",2023-11-20,3,"generic",95
"roche-a-pierrot",2023-11-20,1,"specific",58
"shuidonggou2",2023-11-20,3,"specific",216
"tai",2023-11-20,3,"specific",378
"altenerding",2023-11-21,3,"specific",347
"amalda",2023-11-21,1,"specific",158
"anse-a-henry",2023-11-21,1,"specific",87
"barger-gulch",2023-11-21,1,"specific",145
"bastos",2023-11-21,1,"specific",88
"bessinaudes",2023-11-21,1,"specific",21
"bilzingsleben",2023-11-21,1,"specific",109
"camiac",2023-11-21,1,"specific",32
"cassenade",2023-11-21,1,"specific",99
"chauzeys",2023-11-21,1,"specific",231
"combe-cullier",2023-11-21,1,"specific",58
"de",2023-11-21,1,"generic",162
"en",2023-11-21,1,"generic",1311
"es",2023-11-21,1,"generic",99
"fontechevade",2023-11-21,1,"specific",31
"fr",2023-11-21,3,"generic",643
"portal",2023-11-21,9,"portal",2240
"it",2023-11-21,1,"generic",305
"les-jambes",2023-11-21,1,"specific",72
"marathousa1a",2023-11-21,1,"specific",38
